	background	ME23	ME25	ME12	ME21	ME31	ME47	ME13	ME39	ME27	ME5	ME10	ME40	ME7	ME33	ME4	ME11	ME49	ME6	ME15	ME44	ME14	ME19	ME55	ME57	ME1	ME16	ME24	ME51	ME34	ME54	ME3	ME50	ME17	ME9	ME26	ME22	ME20	ME45	ME36	ME53	ME58	ME18	ME30	ME35	ME37	ME8	ME59	ME43	ME38	ME56	ME46	ME28	ME2	ME41	ME48	ME29	ME52	ME32	ME42	ME0
29	100578281	409769	551718	NA	551624	NA	551438	409456	NA	NA	408928	NA	412832	552182	725550	551466	411596	409125	726900	411706	551094	552345	724440	725770	724724	411629	726003	NA	NA	NA	NA	551490	724466	NA	411021	408848	726513	409017	NA	NA	NA	100577069	NA	NA	551935	726362	NA	NA	726134	NA	NA	NA	NA	NA	409692	410060	NA	NA	NA	NA	100578281
30	NA	408782	412377	NA	NA	NA	726728	409252	NA	726432	724355	NA	NA	411465	552723	552161	726713	726107	NA	NA	552286	NA	100578323	551853	726488	551514	408952	725679	NA	NA	NA	NA	NA	NA	NA	NA	724432	725335	NA	NA	NA	410643	NA	551268	NA	411729	NA	408470	726592	408827	411822	725031	NA	NA	NA	NA	NA	726978	NA	NA	NA
31	NA	NA	413053	726979	NA	NA	551551	NA	100576775	100577041	NA	726131	NA	724567	409068	NA	551781	552685	NA	411922	412630	409217	NA	409460	725048	412863	NA	725999	NA	411116	551701	NA	411181	550801	410913	409636	724607	NA	100578920	551910	411725	NA	409870	NA	NA	NA	411173	724890	NA	410468	409025	552407	NA	100577488	411078	NA	NA	100577562	411659	NA	NA
32	NA	NA	100577553	727287	NA	NA	NA	413768	NA	552828	NA	724166	551512	NA	552769	NA	100577351	NA	NA	724718	NA	409279	411918	413441	725788	NA	409019	NA	NA	NA	NA	NA	NA	409536	408726	NA	411214	412021	NA	NA	NA	410648	NA	551905	551948	409167	NA	NA	100217360	406065	408456	726786	412046	NA	NA	NA	NA	410624	NA	551770	412797
33	NA	409224	552621	NA	551528	NA	551721	100577988	727405	413108	413915	724780	410239	NA	411998	726890	NA	411403	NA	726941	551233	NA	726904	412157	408693	NA	411371	725627	725547	410322	NA	726399	NA	725098	408727	727012	NA	NA	724464	726895	NA	NA	724079	NA	724558	727429	100576666	408875	100578814	412825	550686	NA	410256	100576968	552490	NA	408920	551360	NA	411849	727480
34	NA	550924	408783	408494	410270	NA	551257	726642	100578237	726963	412027	408728	NA	100576831	552484	NA	409529	NA	409473	726054	411044	408332	551997	551515	725467	NA	552341	100578879	NA	NA	727574	NA	NA	NA	408729	410338	411316	408804	412670	100577651	552139	NA	NA	NA	NA	409518	NA	726816	406088	NA	724552	727598	552820	409371	NA	410573	NA	725928	411132	726436	NA
35	100576828	409070	411204	727121	410273	409593	NA	724521	411568	NA	552444	NA	NA	727030	NA	725764	727634	727490	413293	NA	408818	409767	409429	412198	408983	NA	409574	406122	NA	408358	NA	NA	NA	726950	408864	408367	NA	408322	NA	NA	NA	NA	NA	408918	NA	NA	NA	NA	NA	NA	100576508	413134	413783	552358	410005	409682	410996	410380	726688	552745	409417
36	NA	NA	409558	NA	NA	551150	NA	100578860	100578811	NA	100576614	724474	NA	410636	100577324	100577982	408925	552583	410169	100576660	NA	552542	413579	551518	551631	409783	409265	NA	725155	NA	NA	NA	724285	NA	NA	410254	NA	724275	725084	NA	NA	725840	413906	552249	NA	408859	NA	408400	100577614	NA	411813	NA	413159	NA	725482	NA	408779	408766	NA	NA	727596
37	413550	552232	724869	411282	NA	413900	724953	725302	NA	408724	410073	100576261	412966	410072	552343	725633	411215	NA	552034	NA	411983	408936	409408	413394	552183	NA	NA	409274	NA	NA	NA	NA	NA	NA	NA	NA	NA	408717	725069	NA	NA	551114	410486	100576826	100577699	412965	408480	NA	409306	413048	100576118	727091	NA	408957	410231	408556	552475	100578557	NA	552109	409798
38	NA	551283	NA	NA	NA	NA	NA	NA	100576227	NA	100578040	725301	724891	551235	412236	NA	100577026	409677	551983	551449	408706	100578443	724804	411355	550804	677678	413280	NA	NA	724177	NA	NA	NA	NA	NA	411637	NA	100578397	552816	100577966	552280	NA	NA	409942	NA	NA	NA	409124	724187	413785	552277	NA	410910	725670	100577772	413197	408780	100578177	NA	411720	NA
39	NA	100577687	NA	411288	551338	412468	NA	551493	726416	724683	NA	NA	NA	724559	724811	100578109	NA	NA	727015	NA	NA	100576934	411731	409439	411858	NA	411453	NA	NA	NA	NA	552242	724823	NA	724477	552115	724389	412759	NA	NA	NA	NA	552445	NA	408904	409695	552724	NA	413697	NA	NA	412475	NA	NA	408688	411673	NA	726210	408830	411045	NA
40	409961	552285	NA	724859	NA	727497	724665	413176	408815	406074	551949	411167	551605	NA	409144	100576366	412276	725065	726872	NA	413789	NA	727189	NA	NA	410361	409512	NA	NA	724914	551827	NA	413385	726508	408886	552786	NA	551704	NA	408407	NA	NA	406155	NA	725675	NA	NA	NA	726371	726690	100578659	724942	NA	100578051	410600	409658	NA	408299	100576737	412209	410034
41	NA	409356	410316	NA	413545	409082	NA	NA	100578691	410923	NA	NA	NA	410026	551435	408730	724451	409463	NA	410286	NA	409331	551795	NA	NA	NA	409578	NA	NA	406084	NA	NA	NA	409764	100577669	726569	725019	NA	408293	NA	NA	NA	NA	NA	412598	410373	727150	NA	726182	NA	NA	552711	NA	NA	408508	409983	NA	NA	NA	NA	410033
42	NA	NA	NA	100579047	409788	NA	NA	724593	408439	NA	NA	551345	552766	552027	NA	725831	NA	NA	551316	727037	551165	100578406	413138	NA	NA	NA	724338	100577998	100578047	NA	726370	NA	NA	725391	NA	413014	NA	551846	412846	552526	NA	NA	NA	NA	552477	550671	NA	NA	406127	410621	NA	NA	NA	413183	410578	NA	411200	551167	NA	NA	410032
43	NA	NA	412557	NA	409510	409474	100578020	NA	NA	551755	NA	100578546	725755	413074	552113	551314	552476	727415	100577675	724550	552100	NA	552568	726633	NA	NA	550857	552833	100577715	410416	NA	725020	100576471	413097	NA	414036	NA	724936	726571	NA	410850	NA	411515	727249	551430	NA	NA	NA	NA	NA	NA	NA	724310	NA	100578248	413669	413370	408658	NA	100577551	NA
44	410439	726879	726776	409000	411112	100577250	409523	NA	724472	725558	NA	727174	726651	NA	411750	724170	552433	100576120	551875	410485	552193	NA	409106	552234	NA	413123	411663	408359	100577634	552255	726726	100578337	NA	408331	NA	NA	411614	NA	725390	411226	NA	NA	413137	NA	NA	413508	408970	NA	726848	NA	NA	NA	NA	NA	724847	100578529	551919	408677	NA	724917	411794
45	410442	409500	409799	NA	724356	550656	412851	100577739	725208	NA	100576333	727280	724700	409253	NA	724656	726029	100577334	NA	551428	726625	409991	412593	NA	NA	409779	NA	552244	NA	NA	NA	409089	NA	NA	727313	NA	NA	411373	724561	100578112	NA	NA	726132	725015	409794	NA	409122	NA	413264	NA	NA	411894	NA	NA	NA	NA	100577376	NA	NA	411570	NA
