"","module_name","module_size","active_overlap","sterile_overlap","activeDML_pvalue","sterileDML_pvalue","active_PSGE_module_overlap","sterile_PSGE_module_overlap","activePSGE_repstat_pvalue","sterilePSGE_repstat_pvalue"
"30","ME34","92","0","0","0.338824661762605","0.303087232990509","0","0","0.00653130768138566","0.00653130768138566"
"31","ME54","45","0","1","0.18293081984181","0.0133106354589358","0","0","0.00319466136589563","0.00319466136589563"
"32","ME3","1039","4","4","0.500410724087782","0.382603672656504","0","0","0.0737611813147806","0.0737611813147806"
"33","ME50","51","0","0","0.204685833587683","0.181170450490405","0","0","0.00362061621468157","0.00362061621468157"
"34","ME17","180","0","1","0.556049715509486","0.155901224989263","0","0","0.0127786454635809","0.0127786454635809"
"35","ME9","393","0","1","0.832484568607162","0.456487943250907","0","0","0.0279000425954848","0.0279000425954848"
"36","ME26","112","0","0","0.395914504166485","0.355904740305799","0","0","0.00795115717733919","0.00795115717733919"
"37","ME22","165","0","0","0.524777069874545","0.47759522898219","0","0","0.0117137583416163","0.0117137583416163"
"38","ME20","174","1","3","0.182711494816167","0.00469885137625603","0","0","0.0123526906147948","0.0123526906147948"
"39","ME45","60","0","0","0.236253675328598","0.209609134536927","0","0","0.00425954848786059","0.00425954848786059"
"40","ME36","86","0","0","0.320685063438633","0.286428725507499","0","0","0.00610535283259972","0.00610535283259972"
"41","ME53","45","0","0","0.18293081984181","0.161655683280533","0","0","0.00319466136589563","0.00319466136589563"
"42","ME58","39","0","0","0.16059041913529","0.141684483596436","0","0","0.00276870651710914","0.00276870651710914"
"43","ME18","176","1","0","0.185932012889255","0.499863314580912","0","0","0.0124946755643902","0.0124946755643902"
"44","ME30","98","2","0","0.0095913697014538","0.319363751679402","0","0","0.00695726253017237","0.00695726253017237"
"45","ME35","92","0","0","0.338824661762605","0.303087232990509","0","0","0.00653130768138566","0.00653130768138566"
"46","ME37","80","0","1","0.302055910480232","0.0389658384365499","0","0","0.00567939798381356","0.00567939798381356"
"47","ME8","478","1","2","0.635608693683931","0.286469814227068","0","0","0.0339344029532864","0.0339344029532864"
"48","ME59","39","0","0","0.16059041913529","0.141684483596436","0","0","0.00276870651710914","0.00276870651710914"
"49","ME43","61","0","0","0.239684162884158","0.212708485570755","0","0","0.00433054096265795","0.00433054096265795"
"50","ME38","77","0","0","0.292553703706078","0.260705442153156","0","0","0.0054664205594207","0.0054664205594207"
"51","ME56","41","0","0","0.168103210399943","0.148392906577857","0","0","0.00291069146670453","0.00291069146670453"
"52","ME46","59","0","0","0.232807956447597","0.206497804906204","0","0","0.00418855601306301","0.00418855601306301"
"53","ME28","108","0","2","0.384898828149632","0.00861287562819357","0","0","0.00766718727814852","0.00766718727814852"
"54","ME2","1165","4","2","0.604876885648764","0.844219422600285","0","0","0.0827062331392865","0.0827062331392865"
"55","ME41","63","0","0","0.246499708722584","0.218871432746726","0","0","0.00447252591225378","0.00447252591225378"
"56","ME48","56","0","0","0.222378745107709","0.197091489234973","0","0","0.00397557858867015","0.00397557858867015"
"57","ME29","105","0","0","0.376507567136237","0.337881695677187","0","0","0.00745420985375544","0.00745420985375544"
"58","ME52","49","1","2","0.0202300825779245","0.000913920432249915","0","0","0.00347863126508541","0.00347863126508541"
"59","ME32","97","0","0","0.353576173729245","0.316677158191701","0","0","0.00688627005537412","0.00688627005537412"
"60","ME42","62","0","0","0.243099485361042","0.215795903274399","0","0","0.00440153343745564","0.00440153343745564"
"61","ME0","1797","4","10","0.917740270835782","0.0846795378442713","0","0","0.127573477211416","0.127573477211416"
