fromNode	toNode	weight	direction	fromAltName	toAltName
GB41595	GB41695	0.0267518497557179	undirected	NA	727284
GB41595	GB41785	0.030655661535938	undirected	NA	100577332
GB41595	GB42377	0.0327210519528057	undirected	NA	100577214
GB41595	GB42422	0.027425694138977	undirected	NA	406075
GB41595	GB42482	0.0376901959345713	undirected	NA	412810
GB41595	GB42551	0.0226659959317492	undirected	NA	551437
GB41595	GB43057	0.0229755915035522	undirected	NA	NA
GB41595	GB43456	0.055952807759558	undirected	NA	410902
GB41595	GB43584	0.0235919866679232	undirected	NA	100577682
GB41595	GB44002	0.0240050744529605	undirected	NA	410038
GB41595	GB44073	0.0529144444561283	undirected	NA	410997
GB41595	GB44842	0.0647265623430486	undirected	NA	409024
GB41595	GB44858	0.0577375102624313	undirected	NA	NA
GB41595	GB45220	0.0529989865379122	undirected	NA	411457
GB41595	GB45937	0.0751283759400317	undirected	NA	408563
GB41595	GB46564	0.0802219722084083	undirected	NA	409051
GB41595	GB47217	0.0464127022471666	undirected	NA	412591
GB41595	GB47303	0.0445257738639402	undirected	NA	409203
GB41595	GB47581	0.0635157679698786	undirected	NA	NA
GB41595	GB47582	0.0560944742462085	undirected	NA	NA
GB41595	GB47584	0.0666101329137378	undirected	NA	409655
GB41595	GB48785	0.0351265787953634	undirected	NA	NA
GB41595	GB49991	0.0427302665957856	undirected	NA	NA
GB41595	GB50179	0.0307661882742618	undirected	NA	726978
GB41595	GB50442	0.0207409185128349	undirected	NA	100577562
GB41595	GB50586	0.0200414337705827	undirected	NA	410624
GB41595	GB50874	0.0233537778316944	undirected	NA	551360
GB41595	GB51337	0.0310475684281744	undirected	NA	725928
GB41595	GB52025	0.0401482045644247	undirected	NA	410380
GB41595	GB53070	0.0394864516732699	undirected	NA	408766
GB41595	GB53142	0.0542864531718107	undirected	NA	100578557
GB41595	GB53779	0.036600604212844	undirected	NA	100578177
GB41595	GB53791	0.0667533350286036	undirected	NA	726210
GB41595	GB54294	0.0311023479061144	undirected	NA	408299
GB41595	GB55378	0.0375280903583166	undirected	NA	551167
GB41595	GB55547	0.0555707669094585	undirected	NA	408658
GB41595	GB55591	0.0702032115950377	undirected	NA	408677
GB41595	GB55620	0.0344765711406655	undirected	NA	NA
GB41595	GB55664	0.0290483900542111	undirected	NA	NA
GB41595	GB55885	0.0390353405589351	undirected	NA	NA
GB41595	GB55912	0.0230794819833974	undirected	NA	NA
GB41695	GB41785	0.0455294009161599	undirected	727284	100577332
GB41695	GB42377	0.0624672829388933	undirected	727284	100577214
GB41695	GB42482	0.0255707697206926	undirected	727284	412810
GB41695	GB42551	0.0285087183924446	undirected	727284	551437
GB41695	GB43057	0.0273952423449706	undirected	727284	NA
GB41695	GB43456	0.0510319409060137	undirected	727284	410902
GB41695	GB44002	0.0327339142288448	undirected	727284	410038
GB41695	GB44073	0.0407621593351732	undirected	727284	410997
GB41695	GB44099	0.0244484212256236	undirected	727284	726827
GB41695	GB44842	0.0496480693707439	undirected	727284	409024
GB41695	GB44858	0.0330534293896486	undirected	727284	NA
GB41695	GB45220	0.0397498462295205	undirected	727284	411457
GB41695	GB45937	0.0849505958737104	undirected	727284	408563
GB41695	GB46564	0.0648294376174379	undirected	727284	409051
GB41695	GB47217	0.0222553631018469	undirected	727284	412591
GB41695	GB47303	0.0349902214056285	undirected	727284	409203
GB41695	GB47581	0.0449029981050983	undirected	727284	NA
GB41695	GB47582	0.0506049515640179	undirected	727284	NA
GB41695	GB47584	0.0721033140275917	undirected	727284	409655
GB41695	GB48785	0.0345160760952291	undirected	727284	NA
GB41695	GB49991	0.0458018059360743	undirected	727284	NA
GB41695	GB50442	0.0319487986196219	undirected	727284	100577562
GB41695	GB50586	0.0487399549416647	undirected	727284	410624
GB41695	GB50874	0.0289179290214263	undirected	727284	551360
GB41695	GB51337	0.0443603393840582	undirected	727284	725928
GB41695	GB52025	0.0226334673328405	undirected	727284	410380
GB41695	GB53070	0.0256692419386022	undirected	727284	408766
GB41695	GB53142	0.0389054412051518	undirected	727284	100578557
GB41695	GB53779	0.0443121320178088	undirected	727284	100578177
GB41695	GB53791	0.0595466128747449	undirected	727284	726210
GB41695	GB54294	0.0370460812968455	undirected	727284	408299
GB41695	GB54645	0.0211213299516645	undirected	727284	NA
GB41695	GB55378	0.0285051623894855	undirected	727284	551167
GB41695	GB55547	0.0462772107921099	undirected	727284	408658
GB41695	GB55591	0.0335796306996148	undirected	727284	408677
GB41695	GB55620	0.0237341437824951	undirected	727284	NA
GB41695	GB55664	0.031927393088571	undirected	727284	NA
GB41695	GB55885	0.0206167835314551	undirected	727284	NA
GB41695	GB55912	0.0405411562901985	undirected	727284	NA
GB41785	GB42377	0.0815792169361372	undirected	100577332	100577214
GB41785	GB42422	0.030713206658434	undirected	100577332	406075
GB41785	GB42482	0.0318401522216062	undirected	100577332	412810
GB41785	GB42551	0.0282953988655226	undirected	100577332	551437
GB41785	GB43057	0.0238420906350126	undirected	100577332	NA
GB41785	GB43456	0.0586589057970811	undirected	100577332	410902
GB41785	GB44002	0.0271477802688534	undirected	100577332	410038
GB41785	GB44073	0.0499337204371001	undirected	100577332	410997
GB41785	GB44842	0.0548860259183416	undirected	100577332	409024
GB41785	GB44858	0.0394004186682856	undirected	100577332	NA
GB41785	GB45220	0.0532689373682556	undirected	100577332	411457
GB41785	GB45937	0.0961716808869287	undirected	100577332	408563
GB41785	GB46564	0.0685060536091718	undirected	100577332	409051
GB41785	GB47217	0.0316904796050155	undirected	100577332	412591
GB41785	GB47303	0.042524671898047	undirected	100577332	409203
GB41785	GB47581	0.0525318706039535	undirected	100577332	NA
GB41785	GB47582	0.0610104660497477	undirected	100577332	NA
GB41785	GB47584	0.0755328567522386	undirected	100577332	409655
GB41785	GB48785	0.0442854197426496	undirected	100577332	NA
GB41785	GB49991	0.0746676994236604	undirected	100577332	NA
GB41785	GB50442	0.0264440924738706	undirected	100577332	100577562
GB41785	GB50586	0.0595902699906881	undirected	100577332	410624
GB41785	GB50874	0.024841233012505	undirected	100577332	551360
GB41785	GB51337	0.0406025677602684	undirected	100577332	725928
GB41785	GB52025	0.0264131824731409	undirected	100577332	410380
GB41785	GB53070	0.0292748972528561	undirected	100577332	408766
GB41785	GB53142	0.0404784926510885	undirected	100577332	100578557
GB41785	GB53779	0.0398826950340022	undirected	100577332	100578177
GB41785	GB53791	0.0768407784861609	undirected	100577332	726210
GB41785	GB54294	0.0520894997993904	undirected	100577332	408299
GB41785	GB54645	0.0328653339637455	undirected	100577332	NA
GB41785	GB55378	0.0269233068953006	undirected	100577332	551167
