""	X8751ID	X8756ID	X875aID	X8827ID	X882gID	X882kID	X882mID	X888eID	X888qID	X888uID	X894cID	X894fID	X894iID	X8751IQ	X8756IQ	X875aIQ	X8827IQ	X882gIQ	X882kIQ	X882mIQ	X888eIQ	X888qIQ	X888uIQ	X894cIQ	X894fIQ	X894iIQ
GB49325	0	0	2	1	0	0	0	0	1	1	7	2	0	1	3	0	1	0	0	0	0	1	1	7	2	0
GB49326	1	15	9	5	4	12	13	9	9	3	14	21	2	0	14	9	5	4	11	14	0	5	2	14	21	2
GB49327	0	6	0	9	3	10	3	18	12	14	17	12	0	0	8	0	9	4	11	3	18	12	14	17	12	0
GB49328	0	4	0	2	0	0	0	2	1	2	4	0	0	0	4	0	2	0	0	0	2	1	2	4	0	0
GB49336	28	56	79	60	57	55	65	21	53	50	80	116	25	20	78	76	63	66	57	67	6	19	65	37	36	12
GB49338	49	62	25	38	20	58	32	24	53	14	126	64	25	49	62	25	38	20	59	32	24	53	13	127	64	25
GB49341	0	0	84	0	0	54	84	12	0	0	48	54	13	0	0	84	0	0	54	48	12	0	0	48	54	12
GB49342	1	2	0	0	0	0	0	2	1	0	0	4	1	1	2	0	0	0	0	0	2	1	0	0	4	1
GB49344	2	16	0	3	3	13	0	11	0	1	13	5	3	3	24	2	3	3	13	0	0	0	3	13	5	3
GB49346	3	38	39	8	4	21	14	9	21	16	55	34	10	2	23	22	8	3	22	14	9	21	16	29	19	7
GB49347	111	105	61	135	134	258	339	184	404	55	407	676	59	147	135	109	142	135	201	339	7	2	42	363	632	58
GB49353	42	70	124	39	39	58	33	25	23	7	71	59	12	42	70	124	39	39	58	33	25	23	7	71	59	12
GB49354	3	6	0	12	6	6	0	10	2	10	31	7	0	16	14	7	12	6	6	0	10	2	10	31	7	0
GB49356	39	119	142	65	39	165	69	46	30	24	123	197	16	42	118	133	65	39	165	69	32	26	19	123	197	16
GB49362	0	0	1	0	0	1	0	0	2	0	1	1	0	0	0	2	0	0	1	0	0	2	0	1	1	0
GB49363	520	594	503	35	64	735	33	211	307	69	202	120	6	593	676	577	39	72	796	40	167	159	73	178	110	3
GB49364	45	62	131	54	56	129	88	64	140	12	205	175	18	31	46	137	54	56	129	88	0	0	12	205	176	18
GB49365	1	2	0	0	0	0	0	2	1	0	0	4	1	1	2	0	0	0	0	0	2	1	0	0	4	1
GB49367	0	0	21	0	0	0	12	3	0	0	12	9	3	0	0	21	0	0	0	3	3	0	0	12	9	3
GB49368	8	10	12	8	3	15	19	8	14	3	22	28	2	3	11	16	8	3	15	19	1	1	2	22	28	2
GB49370	3	22	0	0	4	13	0	6	0	2	7	2	0	1	31	0	0	4	13	0	1	0	1	7	2	0
GB49373	20	0	24	12	4	0	1	0	1	12	20	1	5	16	0	24	12	4	0	0	0	1	12	20	1	4
GB49375	48	69	217	51	42	89	87	37	85	11	118	128	34	46	71	227	51	36	105	93	36	85	11	118	128	34
GB49378	68	54	198	14	38	28	34	22	74	38	94	48	4	96	54	222	14	38	28	34	22	74	38	94	48	4
GB49379	155	163	426	25	305	61	65	45	409	505	155	153	20	285	156	512	25	305	60	65	45	409	505	155	153	20
GB49383	0	5	22	6	5	9	13	6	13	3	27	16	2	1	5	20	6	5	9	13	6	13	3	27	16	2
GB49386	1	0	0	1	0	7	0	0	0	0	9	0	0	1	0	0	1	0	7	0	0	0	0	2	0	0
GB49391	96	180	122	63	119	57	67	26	43	70	109	59	33	89	169	106	72	111	58	64	29	41	69	47	2	11
GB49392	5	19	17	6	15	0	15	0	1	0	35	19	3	2	20	22	6	15	0	15	0	1	0	0	0	0
GB49393	73	105	84	55	69	169	170	37	65	13	100	189	51	71	104	89	55	69	169	170	37	58	13	96	187	51
GB49394	347	1306	1757	965	1394	2208	4083	270	910	162	2362	3815	651	404	1502	1855	955	1149	2438	4099	140	689	194	2304	3799	643
GB49395	3	0	7	0	0	0	0	0	8	0	7	3	0	2	2	15	1	0	0	0	0	1	0	3	1	0
GB49396	27	7	77	8	8	0	1	2	63	3	77	23	2	21	20	145	5	2	2	1	2	0	3	40	5	2
GB49397	110	276	279	195	163	632	297	426	1368	126	328	534	175	111	276	291	146	167	641	293	421	1348	126	287	527	166
GB49398	62	81	67	45	44	2	30	0	2	14	88	106	15	62	81	67	45	44	2	30	0	2	14	0	0	1
GB49400	64	128	97	38	59	92	104	34	62	24	179	105	25	55	118	97	30	54	166	94	34	62	23	106	64	11
GB49401	73	39	83	9	14	5	24	3	16	20	71	38	10	75	36	83	9	12	5	24	5	17	20	30	8	8
GB49403	0	0	0	0	0	1	1	0	0	1	1	0	0	0	2	0	0	0	1	0	0	0	1	2	0	1
GB49404	660	1555	3122	564	502	1319	869	419	1622	197	972	911	255	645	1540	3080	560	492	1353	870	427	1663	191	958	871	246
GB49405	10	27	45	14	9	44	23	14	35	18	39	27	8	12	28	44	14	9	44	23	14	35	18	0	2	1
GB49408	3	11	6	2	6	0	5	1	5	5	19	13	7	3	11	4	5	6	0	3	1	1	2	0	0	0
GB49412	13	45	111	18	18	43	37	30	34	14	72	58	14	13	45	111	18	18	43	37	30	34	14	72	58	14
GB49422	1	15	2	2	7	9	3	1	1	0	13	11	1	6	4	0	2	7	9	3	1	2	0	13	11	1
