"","ID","GeneID","GenbankID","OtherID"
"17322","rna17321","406153"," Genbank:NM_001011625.2","GB42644"
"17323","rna17322","726214"," Genbank:XM_026442626.1","GB42850"
"17324","rna17323","726214"," Genbank:NM_001098220.1","GB42850"
"17325","rna17324","100578091"," Genbank:XM_006561758.3","GB42643"
"17326","rna17325","100578130"," Genbank:XM_016914188.2","GB42642"
"17327","rna17326","100578130"," Genbank:XM_003249919.4","GB42642"
"17328","rna17327","100576702"," Genbank:XM_003249876.4)",""
"17329","rna17328","726288"," Genbank:XM_001122039.5","GB42640"
"17330","rna17329","107963974"," Genbank:XM_016914187.2)",""
"17331","rna17330","107963974"," Genbank:XM_016914186.2)",""
"17332","rna17331","107963974"," Genbank:XM_026442797.1)",""
"17333","rna17332","107963974"," Genbank:XM_026442796.1)",""
"17334","rna17333","410063"," Genbank:XM_006561754.3)",""
"17335","rna17334","100576935"," Genbank:XR_003305298.1","GB42637"
"17336","rna17335","100576935"," Genbank:XM_003249881.4","GB42637"
"17337","rna17336","726382"," Genbank:XM_026442959.1","GB42635"
"17338","rna17337","107963984"," Genbank:XM_006561749.3)",""
"17339","rna17338","100578227"," Genbank:XM_006561748.3","GB42851"
"17340","rna17339","410062"," Genbank:XM_393549.7","GB42634"
"17341","rna17340","100578323"," Genbank:XM_026442716.1","GB42853"
"17342","rna17341","100578323"," Genbank:XM_026442715.1","GB42853"
"17343","rna17342","100578323"," Genbank:XM_026442717.1","GB42853"
"17344","rna17343","100578323"," Genbank:XM_026442718.1","GB42853"
"17345","rna17344","413768"," Genbank:XM_026442720.1","GB42632"
"17346","rna17345","551880"," Genbank:XM_026442719.1","GB42854"
"17347","rna17346","726515"," Genbank:XM_006561766.3","GB19146"
"17348","rna17347","726515"," Genbank:XM_001122247.5","GB19146"
"17349","rna17348","413917"," Genbank:XM_026442721.1","GB42855"
"17350","rna17349","409017"," Genbank:XM_016913914.1","GB42856"
"17351","rna17350","409017"," Genbank:XM_016913915.2","GB42856"
"17352","rna17351","100577151"," Genbank:XR_001704187.2","GB42857"
"17353","rna17352","100577151"," Genbank:XM_003249883.4","GB42857"
"17354","rna17353","409016"," Genbank:XM_392545.7)",""
"17355","rna17354","102655900"," Genbank:XR_409188.3)",""
"17356","rna17355","102656006"," Genbank:XM_006561774.3)",""
"17357","rna17356","411335"," Genbank:XM_006561773.3","GB17757"
"17358","rna17357","726619"," Genbank:XM_001122344.5","GB42629"
"17359","rna17358","409015"," Genbank:XM_006561776.3","GB42862"
"17360","rna17359","409015"," Genbank:XM_006561778.3","GB42862"
"17361","rna17360","409015"," Genbank:XM_016913917.2","GB42862"
"17362","rna17361","409015"," Genbank:XM_026442837.1","GB42862"
"17363","rna17362","409015"," Genbank:XM_016913916.2","GB42862"
"17364","rna17363","409015"," Genbank:XM_016913918.2","GB42862"
"17365","rna17364","726638"," Genbank:XM_016913919.2","GB42861"
"17366","rna17365","107964950"," Genbank:XM_026442838.1)",""
"17367","rna17366","100577409"," Genbank:XM_006561792.3","GB42865"
"17368","rna17367","411330"," Genbank:XM_026442960.1","GB16351"
"17369","rna17368","102656497"," Genbank:XM_006561790.3)",""
"17370","rna17369","107965005"," Genbank:XM_016914173.2)",""
"17371","rna17370","726629"," Genbank:XM_001120735.5","GB42624"
"17372","rna17371","107964997"," Genbank:XM_016914104.2)",""
"17373","rna17372","113218976"," Genbank:XR_003305282.1)",""
"17374","rna17373","102656409"," Genbank:XR_001704287.2)",""
"17375","rna17374","726750"," Genbank:XM_006561785.3","GB42621"
"17376","rna17375","726750"," Genbank:XM_016914103.2","GB42621"
"17377","rna17376","726750"," Genbank:XM_006561783.3","GB42621"
"17378","rna17377","726750"," Genbank:XM_001122470.5","GB42621"
"17379","rna17378","726750"," Genbank:XM_006561784.3","GB42621"
"17380","rna17379","113218571"," Genbank:XM_026442934.1)",""
