""	X8754AD	X875cAD	X875gAD	X8820AD	X882cAD	X882pAD	X888aAD	X888hAD	X888jAD	X894bAD	X894qAD	X894rAD	X8754AQ	X875cAQ	X875gAQ	X8820AQ	X882cAQ	X882pAQ	X888aAQ	X888hAQ	X888jAQ	X894bAQ	X894qAQ	X894rAQ
GB47583	670	187	1600	387	722	1173	1065	981	531	1934	993	1654	596	163	1547	393	685	1245	1091	984	481	1814	917	1521
GB47584	4467	630	7301	3130	2754	7491	4938	5321	3752	6871	4102	7197	4181	636	7186	3063	2679	7456	4930	5319	3701	6833	4118	7211
GB47587	0	1	3	0	2	0	0	0	0	3	0	0	0	1	2	0	2	0	0	0	0	2	0	0
GB47601	0	1	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	2	1	2	1	0	1
GB47614	13	3	23	9	6	14	26	29	25	26	10	11	22	5	27	11	8	23	28	41	33	27	14	19
GB47615	13	8	10	3	5	18	21	13	14	10	13	15	13	6	8	3	5	18	21	13	14	10	13	15
GB47618	5	5	2	0	1	2	0	0	0	0	0	0	5	5	2	0	1	2	0	0	0	0	1	0
GB47623	5	2	2	7	3	4	5	10	17	2	6	1	3	1	0	6	4	7	5	10	17	2	6	1
GB47626	0	7	8	3	0	2	7	5	0	4	1	7	0	7	8	3	0	2	1	3	0	4	1	7
GB47627	16	18	22	7	3	21	35	41	48	38	9	23	16	18	22	6	2	11	35	41	48	38	9	23
GB47628	53	12	34	6	3	10	31	31	43	25	27	39	53	12	34	2	5	9	31	31	43	25	27	39
GB47633	4	35	20	7	4	18	34	47	32	10	13	25	0	35	14	11	4	20	36	54	43	10	13	25
GB47635	24	155	62	22	25	141	122	143	36	67	78	59	24	155	62	21	25	142	117	143	33	67	78	59
GB47642	283	643	737	720	347	711	727	1430	460	369	99	129	211	15	91	728	349	737	575	1355	573	378	63	167
GB47643	90	205	245	240	117	260	241	477	160	122	36	43	74	0	30	240	117	278	190	452	190	126	22	56
GB47645	54	123	152	149	69	144	144	279	93	72	18	24	42	0	18	144	69	145	114	270	111	75	12	30
GB47648	96	207	245	241	127	250	240	505	182	135	31	36	87	4	32	242	125	251	205	457	227	130	21	71
